,name,price/day,url,doors,seats,fuel_type,mpg,vehicle_type,competitors,year
70,Mazda CX-5,112,https://turo.com/us/en/suv-rental/united-states/reno-nv/mazda/cx-5/844012?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,nan,Gas,26,suv,,2017
71,Audi Q7,113,https://turo.com/us/en/suv-rental/united-states/reno-nv/audi/q7/1119438?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,22,suv,Audi Q7,2017
72,Volkswagen Passat,79,https://turo.com/us/en/car-rental/united-states/reno-nv/volkswagen/passat/1364574?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,30,car,,2015
73,Audi Q7,113,https://turo.com/us/en/suv-rental/united-states/reno-nv/audi/q7/1026982?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,22,suv,Audi Q7,2017
74,Subaru Outback,110,https://turo.com/us/en/car-rental/united-states/reno-nv/subaru/outback/1357007?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,24,car,,2022
75,Polaris Slingshot,170,https://turo.com/us/en/car-rental/united-states/reno-nv/polaris/slingshot/511417?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,nan,2,Gas,28,car,,2017
76,Toyota RAV4,100,https://turo.com/us/en/suv-rental/united-states/reno-nv/toyota/rav4/1343760?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,28,suv,,2021
77,Jeep Wrangler,119,https://turo.com/us/en/suv-rental/united-states/reno-nv/jeep/wrangler/165207?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,nan,suv,Jeep Wrangler,2016
78,Hyundai Elantra,75,https://turo.com/us/en/car-rental/united-states/reno-nv/hyundai/elantra/1383676?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,38,car,,2022
79,Subaru Crosstrek,138,https://turo.com/us/en/suv-rental/united-states/reno-nv/subaru/crosstrek/1046138?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,nan,Gas,30,suv,,2021
80,Ford Edge,68,https://turo.com/us/en/suv-rental/united-states/reno-nv/ford/edge/1075938?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,23,suv,,2013
81,Subaru Forester,64,https://turo.com/us/en/suv-rental/united-states/reno-nv/subaru/forester/1237884?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,5,5,Gas,26,suv,,2014
82,Dodge Grand Caravan,100,https://turo.com/us/en/minivan-rental/united-states/reno-nv/dodge/grand-caravan/1322715?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,21,minivan,,2013
83,Chevrolet Sonic,77,https://turo.com/us/en/car-rental/united-states/reno-nv/chevrolet/sonic/1398322?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,29,car,,2015
84,GMC Canyon,140,https://turo.com/us/en/truck-rental/united-states/reno-nv/gmc/canyon/1363176?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,nan,nan,25,truck,,2019
85,Tesla Model 3,153,https://turo.com/us/en/car-rental/united-states/reno-nv/tesla/model-3/1299890?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Electric,nan,car,,2021
86,Subaru Legacy,121,https://turo.com/us/en/car-rental/united-states/reno-nv/subaru/legacy/1375454?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,28,car,,2021
87,Hyundai Elantra,77,https://turo.com/us/en/car-rental/united-states/reno-nv/hyundai/elantra/1097393?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,32,car,,2021
88,Volkswagen Jetta,80,https://turo.com/us/en/car-rental/united-states/reno-nv/volkswagen/jetta/1074686?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,30,car,,2016
89,Mercedes-Benz C-Class,99,https://turo.com/us/en/car-rental/united-states/reno-nv/mercedes-benz/c-class/1376124?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,23,car,,2015
90,Hyundai Elantra,73,https://turo.com/us/en/car-rental/united-states/reno-nv/hyundai/elantra/1415804?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,38,car,,2021
91,Jeep Gladiator,249,https://turo.com/us/en/truck-rental/united-states/reno-nv/jeep/gladiator/1092136?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,Gas,19,truck,,2021
92,Hyundai Palisade,155,https://turo.com/us/en/suv-rental/united-states/reno-nv/hyundai/palisade/1383701?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,nan,suv,,2020
93,GMC Sierra 1500,200,https://turo.com/us/en/truck-rental/united-states/sparks-nv/gmc/sierra-1500/1321668?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,5,nan,20,truck,,2020
94,Cadillac Escalade,179,https://turo.com/us/en/suv-rental/united-states/reno-nv/cadillac/escalade/1225683?endDate=04%2F12%2F2022&endTime=10%3A00&searchId=7ththBUw&startDate=04%2F08%2F2022&startTime=10%3A00,4,7,Gas,16,suv,,2009
